271,,BAR5,GASPAR,GPR
272,,PAC4,PALHOCA,PAC
273,,VINO,IMBITUBA,IMA
274,,LMO1,BRUSQUE,BQE
275,,IV12,BLUMENAU,BNU
276,,SEDQ,LAGUNA,LGA
277,,NVBA,IMBITUBA,IMA
278,,BARK,GASPAR,GPR
279,,BRLG,FLORIANOPOLIS,FNS
280,,ALSI,PALHOCA,PAC
281,,VRG3,FLORIANOPOLIS,FNS
282,,SJRV,FLORIANOPOLIS,FNS
283,,CPVA,CAPIVARI DE BAIXO,CPVA
284,,PSBR,LAGUNA,LGA
285,,TBC,TROMBUDO CENTRAL,TBC
286,,LAU,LAURENTINO,LAU
287,,SJIU,SAO JOAO DO ITAPERIU,SJIU
288,,STLC,PALMITOS,PLI
289,,UUG,URUSSANGA,UUG
290,,JVTA,JOINVILLE,JVE
291,,COU,CORUPA,COU
292,,TREV,TREVISO,TREV
293,,BAV1,GASPAR,GPR
294,,SAZD,SAZD-CRE-INTERFACE,SAZD
295,,CCO,CHAPECO,CCO
296,,ARBT,ARABUTA,ARBT
297,,ALA1,IMBITUBA,IMA
298,,FLSM,LAGUNA,LGA
299,,MABO,MARECHAL BORMANN,MABO
300,,BOBU,BRACO DO BAU,BOBU
301,,BEVK,ITUPORANGA,IUP
302,,CAMP,DONA EMMA,DNM
303,,DALB,IBIRAMA,IIR
304,,ETAL,ETAL-CRE-INTERFACE,ETAL
305,,GASC,GASPAR,GPR
306,,IE92,ITAPEMA,IEA
307,,IMA,IMBITUBA,IMA
308,,IRU,IMARUI,IRU
309,,IT03,BLUMENAU,BNU
310,,IV02,BLUMENAU,BNU
311,,KBNV,KPER-CRE-INTERFACE,KPER
312,,MF02,BLUMENAU,BNU
313,,MIRA,PRESIDENTE GETULIO,PEU
314,,ROD1,RODEIO,ROD
315,,RODM,LUIZ ALVES,LZV
316,,RCP,RIO DO CAMPO,RCP
317,,SMAR,SANTA MARIA,SMAR
318,,SRAI,PRESIDENTE GETULIO,PEU
319,,STTZ,SANTA TEREZINHA,STTW
320,,STHO,SALTINHO,STHO
321,,PCC,PRESIDENTE CASTELO BRANCO,PCC
322,,UOE,UNIAO DO OESTE,UOE
323,,FORZ,BLUMENAU,BNU
324,,BHTE,ITAJAI,IAI
325,,POCE,POMERODE,POD
326,,POEM,PORTO ESCALVADO,POEM
327,,RAFB,IBIRAMA,IIR
328,,MOGA,MORRO GRANDE,MOGA
329,,JOQ1,FLORIANOPOLIS,FNS
330,,LGB2,GUABIRUBA,GBR
331,,RCD,RIO DOS CEDROS,RCD
332,,DPN,DOUTOR PEDRINHO,DPN
333,,AO90,GOVERNADOR CELSO RAMOS,GCS
334,,SGG1,MELEIRO,MEI
335,,SNG1,ARARANGUA,ARU
336,,BVGE,MELEIRO,MEI
337,,CEH,CANELINHA,CEH
338,,ITH,ITAPOA,ITH
339,,TIL,TIMBE DO SUL,TIL
340,,BFAT,JOINVILLE,JVE
341,,AOP4,BIGUACU,BGC
342,,AIC,ANTONIO CARLOS,AIC
343,,SMO,SOMBRIO,SMO
344,,SEQ,SANTA ROSA DO SUL,SEQ
345,,JARP,JARDINOPOLIS,JARP
346,,JCH,JACINTO MACHADO,JCH
347,,LCNS,ARARANGUA,ARU
348,,SOAT,CONCORDIA,CDA
349,,CTRR,FLORIANOPOLIS,FNS
350,,CRGO,NOVA VENEZA,NZA
351,,JOAQ,FLORIANOPOLIS,FNS
352,,SIGO,SANTIAGO DO SUL,SIGO
353,,BGVA,BALNEARIO GAIVOTA,BGVA
354,,RMTB,MELEIRO,MEI
355,,RTE2,FLORIANOPOLIS,FNS
356,,ABVT,ALTO BELA VISTA,ABVT
357,,CCPE,FLORIANOPOLIS,FNS
358,,RIN,RIO NEGRINHO,RIN
359,,CNV,CAMPOS NOVOS,CNV
360,,GRB,GAROPABA,GRB
361,,RDDZ,RODEIO,ROD
362,,NVRA,MORRO GRANDE,MOGA
363,,PVDE,MELEIRO,MEI
364,,MEI,MELEIRO,MEI
365,,BVST,JOINVILLE,JVE
366,,LGS,LAGES,LGS
367,,RON,MAFRA,MFA
368,,SGE,SAO MIGUEL DOESTE,SGE
369,,AISM,SAO MIGUEL DOESTE,SGE
370,,AISL,SAO MIGUEL DOESTE,SGE
371,,IMK,IPUMIRIM,IMK
372,,LDU,LINDOIA DO SUL,LDU
373,,PLLA,CONCORDIA,CDA
374,,LZRO,CRICIUMA,CUA
375,,ALFH,BENEDITO NOVO,BNV
376,,AHT,ANCHIETA,AHT
377,,ARTO,JOINVILLE,JVE
378,,RTES,FLORIANOPOLIS,FNS
379,,BRTR,BRACO DO TROMBUDO,BRTR
380,,RODL,RODL-CRE-INTERFACE,RODL
381,,SI04,SANTO AMARO DA IMPERATRIZ,SIZ
382,,STIM,SAO JOSE,SOO
383,,ROPA,RIO DA PRATA,ROPA
384,,ROMS,RIO MILANES,ROMS
385,,CWB,CAIBI,CWB
386,,ZTA,ZORTEA,ZTA
387,,EGTR,BIGUACU,BGC
388,,CJSS,PALHOCA,PAC
389,,CSA2,SAO JOSE,SOO
390,,TRO4,TUBARAO,TRO
391,,PSW,PONTE SERRADA,PSW
392,,BASJ,TUBARAO,TRO
393,,AILG,LAGES,LGS
394,,CSTZ,SAO PEDRO DE ALCANTARA,SPAL
395,,CST2,SAO PEDRO DE ALCANTARA,SPAL
396,,INRV,FLORIANOPOLIS,FNS
397,,DCS,DESCANSO,DCS
398,,RBI4,FLORIANOPOLIS,FNS
399,,RBIL,FLORIANOPOLIS,FNS
400,,SDFE,CRICIUMA,CUA
401,,SRL,SAO CARLOS,SRL
402,,UUI,URUBICI,UUI
403,,SAR,SEARA,SAR
404,,BANI,BANDEIRANTE,BANI
405,,GMM,GUARAMIRIM,GMM
406,,NVHE,NOVO HORIZONTE,NVHE
407,,YCA,ICARA,YCA
408,,IXI,IRANI,IXI
409,,CBS,CURITIBANOS,CBS
410,,VARU,JARAGUA DO SUL,JGS
411,,SOO,SAO JOSE,SOO
412,,MW04,JARAGUA DO SUL,JGS
413,,NERS,JARAGUA DO SUL,JGS
414,,PBY,PERITIBA,PBY
415,,BDFT,BLUMENAU,BNU
416,,BELV,CHAPECO,CCO
417,,BIOS,LAGUNA,LGA
418,,ESRT,FLORIANOPOLIS,FNS
419,,FG03,FRAIBURGO,FGO
420,,AISJ,SAO JOSE,SOO
421,,BOJE,BOM JESUS,BOJE
422,,HVD,HERVAL DOESTE,HVD
423,,BRGD,FAXINAL DOS GUEDES,FHS
424,,VAI1,BLUMENAU,BNU
425,,RBI3,FLORIANOPOLIS,FNS
426,,BCTO,SAO BENTO DO SUL,SBS
427,,ESBC,LAGUNA,LGA
428,,JCA,JOACABA,JCA
429,,SBCL,LAGUNA,LGA
430,,NEM,NOVA ERECHIM,NEM
431,,SBS,SAO BENTO DO SUL,SBS
432,,CAPK,SAO JOSE,SOO
433,,PASH,PALHOCA,PAC
434,,CLHA,FLORIANOPOLIS,FNS
435,,JMAT,FLORIANOPOLIS,FNS
436,,VANA,ICARA,YCA
437,,ARVO,ARVOREDO,ARVO
438,,CLF,CORONEL FREITAS,CLF
439,,PDAM,ILHOTA,ILO
440,,HUGO,NAVEGANTES,NVG
441,,FLST,FLOR DO SERTAO,FLST
442,,PRIO,PARAISO,PRIO
443,,RMD,ROMELANDIA,RMD
444,,TIGR,TIGRINHOS,TIGR
445,,GAB,GUARACIABA,GAB
446,,SSC,SAO JOSE DO CEDRO,SSC
447,,MVH,MARAVILHA,MVH
448,,ARU,ARARANGUA,ARU
449,,JURR,FLORIANOPOLIS,FNS
450,,TIMI,TIJUCAS,TIJ
451,,SORJ,BIGUACU,BGC
452,,EVV,ERVAL VELHO,EVV
453,,BVRA,JARAGUA DO SUL,JGS
454,,BD10,BLUMENAU,BNU
455,,BD05,BLUMENAU,BNU
456,,JUU,JAGUARUNA,JUU
457,,FAG1,CONCORDIA,CDA
458,,TAQS,RANCHO QUEIMADO,RQO
459,,RQO,RANCHO QUEIMADO,RQO
460,,AMY1,AGUAS MORNAS,AMY
461,,PGK,PEDRAS GRANDES,PGK
462,,JGS1,JARAGUA DO SUL,JGS
463,,SCH,SCHROEDER,SCH
464,,SWL1,JARAGUA DO SUL,JGS
465,,PBRR,LAGUNA,LGA
466,,PAC3,PALHOCA,PAC
467,,IIG5,JOINVILLE,JVE
468,,LBL,LEOBERTO LEAL,LBL
469,,PGD,PRAIA GRANDE,PGD
470,,BMR,BOM RETIRO,BMR
471,,ROB3,JOINVILLE,JVE
472,,LDP,LACERDOPOLIS,LDP
473,,FL11,JOINVILLE,JVE
474,,SGTC,ARARANGUA,ARU
475,,MOCL,MONTE CARLO,MOCL
476,,CDLO,CHAPADAO DO LAGEADO,CDLO
477,,BDSY,ITAPOA,ITH
478,,RIFI,TREZE DE MAIO,TZE
479,,BBBV,JAGUARUNA,JUU
480,,PNSU,FLORIANOPOLIS,FNS
481,,MOCV,ARARANGUA,ARU
482,,QALA,CRICIUMA,CUA
483,,PSMA,PASSOS MAIA,PSMA
484,,SC02,SCHROEDER,SCH
485,,RSL,RIO DO SUL,RSL
486,,MOUR,CANELINHA,CEH
487,,LC90,ARARANGUA,ARU
488,,SABX,NOVA VENEZA,NZA
489,,CTA,CURITIBA,CTA
490,,ITBI,FLORIANOPOLIS,FNS
491,,VHGR,BLUMENAU,BNU
492,,CLE,CAMPO ALEGRE,CLE
493,,BSBO,CAMPO ALEGRE,CLE
494,,SGAA,ARARANGUA,ARU
495,,GCIA,BLUMENAU,BNU
496,,BRLS,BRUNOPOLIS,BRLS
497,,TPTB,BIGUACU,BGC
498,,BNV,BENEDITO NOVO,BNV
499,,IDL2,INDAIAL,IDL
500,,BSJO,BENEDITO NOVO,BNV
501,,RBCA,POMERODE,POD
502,,CHUN,CHAPECO,CCO
503,,BAVG,JAGUARUNA,JUU
504,,BYV1,ICARA,YCA
505,,CXB,CAXAMBU DO SUL,CXB
506,,RMLH,JARAGUA DO SUL,JGS
507,,CTC1,GUARAMIRIM,GMM
508,,GM01,GUARAMIRIM,GMM
509,,ETRI,ENTRE RIOS,ETRI
510,,IFGA,JARAGUA DO SUL,JGS
511,,MWEE,JARAGUA DO SUL,JGS
512,,ECTA,GAROPABA,GRB
513,,CUNI,CUNHATAI,CUNI
514,,BS02,BALNEARIO CAMBORIU,BCU
515,,CRUZ,FORQUILHINHA,FQA
516,,SBAO,NOVA VENEZA,NZA
517,,RM10,CRICIUMA,CUA
518,,SABQ,FLORIANOPOLIS,FNS
519,,TQAS,TQAS-CRE-INTERFACE,TQAS
520,,FRTX,BLUMENAU,BNU
521,,CNLG,FLORIANOPOLIS,FNS
522,,EAAA,BLUMENAU,BNU
523,,MDL,MODELO,MDL
524,,QBO,QUILOMBO,QBO
525,,CSA3,SAO JOSE,SOO
526,,ASC,ASCURRA,ASC
527,,FRTZ,BLUMENAU,BNU
528,,GUAB,GUATAMBU,GUAB
529,,COBM,JAGUARUNA,JUU
530,,SB08,FLORIANOPOLIS,FNS
531,,SANG,SANGAO,SANG
532,,BP02,BLUMENAU,BNU
533,,BP79,BLUMENAU,BNU
534,,BPGS,BLUMENAU,BNU
535,,AWR,ALFREDO WAGNER,AWR
536,,PATS,PASSO DE TORRES,PATS
537,,BAG1,BAOG-CRE-INTERFACE,BAOG
538,,ITS1,BLUMENAU,BNU
539,,BETE,PASSO DE TORRES,PATS
540,,KROD,KPER-CRE-INTERFACE,KPER
541,,RIFN,RIFN-CRE-INTERFACE,RIFN
542,,VGO,VARGEAO,VGO
543,,SJL,SAO JOAO DO SUL,SJL
544,,RSTV,RIO DO SUL,RSL
545,,MAJ,MARACAJA,MAJ
546,,M181,BLUMENAU,BNU
547,,CLA1,NOVA TRENTO,NVT
548,,PAMX,GOVERNADOR CELSO RAMOS,GCS
549,,CTPJ,FLORIANOPOLIS,FNS
550,,BMBS,BOMBAS,BMBS
551,,CAHE,FLORIANOPOLIS,FNS
552,,D278,INDAIAL,IDL
553,,MOGE,SANGAO,SANG
554,,GLV,GALVAO,GLV
555,,GAV,GRAVATAL,GAV
556,,UBAT,SAO FRANCISCO DO SUL,SFS
557,,TZE,TREZE DE MAIO,TZE
